OBJECTID,pointid,percentage,Lon,Lat,RastX,RastY
19254,93036,6.613333225,-78.12945297,46.10163187,-742164.677,284061.7105
19255,93037,36.1333313,-78.00622006,46.07825202,-733067.2731,280216.388
19256,93038,6.216666698,-77.88311771,46.05470858,-723971.233,276369.3341
19257,93039,3.623333454,-77.76014664,46.03100188,-714876.5596,272520.5529
19258,93040,6.650000095,-77.63730755,46.00713223,-705783.2556,268670.0483
19259,93041,6.216666698,-77.51460115,45.98309995,-696691.3241,264817.8242
19260,93042,23.03666687,-77.39202813,45.95890537,-687600.7679,260963.8847
19261,93044,9.686666489,-77.14728502,45.9100306,-669423.7925,253250.8753
19262,93045,1.643333316,-77.02511628,45.88535106,-660337.379,249391.8134
19263,93046,4.403333187,-76.90308366,45.86051052,-651252.352,245531.0521
19264,93047,0.683333337,-76.78118784,45.83550932,-642168.7142,241668.5953
19265,93048,8.043333054,-76.65942946,45.81034779,-633086.4684,237804.4471
19266,93049,3.620000124,-76.53780919,45.78502625,-624005.6173,233938.6114
19267,93050,2.856666565,-76.41632768,45.75954505,-614926.1636,230071.0924
19268,93051,9.873332977,-76.29498559,45.73390452,-605848.11,226201.8941
19269,93052,3.183333397,-76.17378354,45.708105,-596771.4591,222331.0205
19270,93053,8.123332977,-76.05272219,45.68214683,-587696.2136,218458.4756
19271,93055,12.47666645,-75.81102406,45.62975591,-569549.9491,210708.3884
19272,93056,2.430000067,-75.69038853,45.60332384,-560478.9353,206830.8542
19273,93057,1.283333302,-75.56989618,45.5767345,-551409.3373,202951.665
19274,93058,3.200000048,-75.44954762,45.54998822,-542341.1575,199070.8249
19275,93059,0.599999964,-75.32934344,45.52308536,-533274.3986,195188.338
19276,93061,0.683333337,-75.08937065,45.46881129,-515145.1531,187418.4399
19277,93063,0.916666627,-74.8499825,45.41391509,-497021.6206,179642.0037
19278,93064,9.133333206,-74.73050912,45.38623458,-487962.0028,175751.344
19279,93073,3.276666641,-73.66197026,45.13020209,-406490.3235,140662.9001
19280,93075,5.28666687,-73.42618399,45.07163332,-388401.467,132847.9259
19281,93077,0.363333315,-73.19101286,45.01246267,-370318.4533,125026.6445
19282,93078,4.873333454,-73.07365923,44.98265255,-361279.143,121113.649
19283,93080,21.84000015,-72.8394183,44.92258462,-343204.9259,113282.9691
19284,93082,10.03333282,-72.60580233,44.86192225,-325136.5943,105446.065
19285,93083,22.50333405,-72.48922991,44.83136908,-316104.6408,101525.2894
19286,93084,20.32999992,-72.37281513,44.80066843,-307074.1648,97602.97018
19287,93085,4.679999828,-72.25655847,44.76982068,-298045.1685,93679.11162
19288,93086,24.74333191,-72.14046037,44.7388262,-289017.6536,89753.71787
19289,93087,27.7266655,-72.02452129,44.70768538,-279991.6224,85826.79309
19290,93088,17.15999985,-71.90874167,44.67639859,-270967.0767,81898.34147
19291,93089,17.98666763,-71.79312194,44.64496622,-261944.0185,77968.36716
19292,93090,17.71000099,-71.67766254,44.61338865,-252922.4496,74036.87436
19293,93091,5.623333454,-71.56236388,44.58166627,-243902.3721,70103.86723
19294,93101,3.619999886,-84.71901799,46.99662538,-1220778.632,472374.1165
19295,93102,5.236666679,-84.5903619,46.98217905,-1211616.725,468625.231
19296,93103,4.783333302,-84.4617917,46.96755562,-1202456,464874.4257
19297,93104,8.359999657,-84.33330836,46.9527553,-1193296.463,461121.7039
19298,93105,7.159999847,-84.20491283,46.93777831,-1184138.115,457367.0691
19299,93106,7.666666508,-84.07660606,46.92262486,-1174980.962,453610.5247
19300,93107,6.153333187,-83.94838901,46.90729518,-1165825.007,449852.074
19301,93108,5.71999979,-83.82026263,46.89178949,-1156670.255,446091.7205
19302,93109,8.376667023,-83.69222786,46.876108,-1147516.707,442329.4677
19303,93110,6.453333378,-83.56428563,46.86025095,-1138364.37,438565.319
19304,93111,17.17666626,-83.43643688,46.84421857,-1129213.245,434799.2779
19305,93112,14.25999928,-83.30868255,46.82801107,-1120063.338,431031.3478
19306,93113,4.266666889,-83.18102355,46.81162871,-1110914.651,427261.5323
19307,93114,5.789999962,-83.0534608,46.79507171,-1101767.188,423489.8349
19308,93115,9.413332939,-82.92599523,46.7783403,-1092620.954,419716.2591
19309,93116,10.27000046,-82.79862773,46.76143474,-1083475.951,415940.8084
19310,93117,29.73333359,-82.67135923,46.74435525,-1074332.184,412163.4864
19311,93118,2.789999962,-82.54419062,46.72710209,-1065189.655,408384.2967
19312,93119,24.11666679,-82.41712281,46.7096755,-1056048.369,404603.2427
19313,93120,1.51000011,-82.29015667,46.69207573,-1046908.329,400820.3282
19314,93121,16.34666634,-82.16329311,46.67430302,-1037769.539,397035.5567
19315,93123,1.666666627,-81.90987724,46.63823983,-1019495.722,389460.4572
