FID,ANNEE,SUPER_HA,Ia,NIVEAU,Longitude,Latitude,X,Y,RastX,RastY
29851,2012,5.958795659,2,Modéré,-71.71793895,49.09084294,1662236.014,317752.7958,-233749.0535,570565.4722
29852,2012,0.010610159,3,Grave,-71.70471717,49.09484251,1662929.467,318513.5639,-232802.4384,571124.2997
29853,2012,1.179200434,3,Grave,-71.95421312,49.09358475,1645959.588,311893.3209,-250919.8871,571828.5253
29854,2012,2.442718889,1,Léger,-71.44610977,49.09304149,1680615.903,325123.8023,-214035.5305,570117.7829
29855,2012,73.75683674,2,Modéré,-71.72116679,49.08839643,1662371.709,317414.4609,-233984.8303,570203.5396
29856,2012,4.250107931,3,Grave,-71.96344673,49.09363655,1645327.165,311659.8084,-251589.834,571866.6702
29857,2012,0.016100853,3,Grave,-71.70475197,49.09509296,1662917.125,318538.6495,-232803.7238,571152.098
29858,2012,173.1667225,3,Grave,-68.53327999,49.08238315,1877511.634,405514.9437,-2419.069577,564532.2872
29859,2012,38.64422061,1,Léger,-71.73097534,49.09044015,1661314.537,317370.3929,-234730.627,570723.4134
29860,2012,0.053996374,3,Grave,-71.70455068,49.09535789,1662920.298,318571.4112,-232787.7989,571180.73
29861,2012,765.7878063,3,Grave,-72.64427649,49.07530439,1599453.962,292383.9536,-301112.9587,572470.0577
29862,2012,2.289593161,1,Léger,-71.76858425,49.0932858,1658636.998,316684.3504,-237446.6458,571162.0616
29863,2012,33.21256329,2,Modéré,-71.5138927,49.09051122,1676103.108,323072.9319,-218968.9205,570043.1118
29864,2012,77.32739722,2,Modéré,-68.3373539,49.09110026,1890195.375,412203.7509,11820.07103,565509.8822
29865,2012,35.49999645,1,Léger,-71.74358036,49.08960143,1660488.385,316954.1481,-235649.9848,570672.1164
29866,2012,92.61601281,3,Grave,-72.69435283,49.08606062,1595608.799,292249.245,-304677.3729,573870.2896
29867,2012,2.436022519,3,Grave,-71.62859506,49.09525143,1668100.748,320549.2428,-227274.2372,570924.801
29868,2012,1.925862991,2,Modéré,-71.7369264,49.0946482,1660741.466,317651.8618,-235141.6183,571208.1288
29869,2012,1.724670742,2,Modéré,-71.72871939,49.09569666,1661259.286,317975.0267,-234540.6055,571297.0979
29870,2012,0.650280096,3,Grave,-71.73954247,49.09605703,1660507.097,317729.826,-235324.4753,571372.4663
29871,2012,52.20561637,3,Grave,-71.995599,49.0907447,1643245.62,310527.9348,-253939.2041,571660.5863
29872,2012,17.68679015,1,Léger,-72.23321026,49.09320516,1626911.944,304675.8757,-271171.2009,572804.333
29873,2012,0.009143977,3,Grave,-72.74099747,49.09666532,1592005.202,292187.8415,-307992.3308,575241.5027
29874,2012,0.013149712,1,Léger,-68.32217202,49.09685443,1890947.331,413239.307,12921.83077,566149.2475
29875,2012,5458.442405,1,Léger,-68.72838655,49.04928645,1865947.856,396403.751,-16612.75971,560894.456
29876,2012,0.197900118,1,Léger,-72.16110879,49.0969428,1631695.308,306911.8965,-265917.392,572946.802
